Source,/home/hazen/work/ARICH/PCB/hardware/siPM_Board/trunk/SiPM_Board.sch,,,,,,
Kicad Rev,Eeschema 5.1.9-73d0e3b20d~88~ubuntu20.04.1,,,,,,
Generated Date,Mon 01 Mar 2021 10:09:39 AM EST,,,,,,
,,,,,,,
Title,SiPM Schematic,,,,,,
Company,Electronics Design Facility,,,,,,
Revision,Not Set,,,,,,
Date Issue,2021-02-24,,,,,,
Comment,Final Draft,,,,,,
,,,,,,,
Reference,Value,Manufacturer,MFN,Supplier,Supplier P/N,Qty,
J1,Conn_02x34_Odd_Even,Samtec,MW-34-03-G-D-245-065-ES,Samtec,MW-34-03-G-D-245-065-ES,1,
U5,S14161-6050HS-04,Hamamatsu,S14161-6050HS-04,Hamamatsu,S14161-6050HS-04,1,
J2,Conn_02x34_Odd_Even,Samtec,MW-34-03-G-D-245-065-ES,Samtec,MW-34-03-G-D-245-065-ES,1,
U2,S14161-6050HS-04,Hamamatsu,S14161-6050HS-04,Hamamatsu,S14161-6050HS-04,1,
U3,S14161-6050HS-04,Hamamatsu,S14161-6050HS-04,Hamamatsu,S14161-6050HS-04,1,
C16,100nF,Walsin Technology Corporation,0603B104K101CT,Digi-Key,1292-1392-1-ND,1,
C14,100nF,Walsin Technology Corporation,0603B104K101CT,Digi-Key,1292-1392-1-ND,1,
U4,S14161-6050HS-04,Hamamatsu,S14161-6050HS-04,Hamamatsu,S14161-6050HS-04,1,
C8,100nF,Walsin Technology Corporation,0603B104K101CT,Digi-Key,1292-1392-1-ND,1,
C6,100nF,Walsin Technology Corporation,0603B104K101CT,Digi-Key,1292-1392-1-ND,1,
C17,100nF,Walsin Technology Corporation,0603B104K101CT,Digi-Key,1292-1392-1-ND,1,
C15,100nF,Walsin Technology Corporation,0603B104K101CT,Digi-Key,1292-1392-1-ND,1,
C9,100nF,Walsin Technology Corporation,0603B104K101CT,Digi-Key,1292-1392-1-ND,1,
U1,LM94021,Texas Instruments,LM94021BIMG/NOPB,Digi-Key,LM94021BIMG/NOPBCT-ND,1,
C3,100nF,Walsin Technology Corporation,0603B104K101CT,Digi-Key,1292-1392-1-ND,1,
C1,100nF,Walsin Technology Corporation,0603B104K101CT,Digi-Key,1292-1392-1-ND,1,
C4,100nF,Walsin Technology Corporation,0603B104K101CT,Digi-Key,1292-1392-1-ND,1,
C2,100nF,Walsin Technology Corporation,0603B104K101CT,Digi-Key,1292-1392-1-ND,1,
C13,100nF,Walsin Technology Corporation,0603B104K101CT,Digi-Key,1292-1392-1-ND,1,
C11,100nF,Walsin Technology Corporation,0603B104K101CT,Digi-Key,1292-1392-1-ND,1,
C12,100nF,Walsin Technology Corporation,0603B104K101CT,Digi-Key,1292-1392-1-ND,1,
C10,100nF,Walsin Technology Corporation,0603B104K101CT,Digi-Key,1292-1392-1-ND,1,
C5,100nF,Walsin Technology Corporation,0603B104K101CT,Digi-Key,1292-1392-1-ND,1,
C7,100nF,Walsin Technology Corporation,0603B104K101CT,Digi-Key,1292-1392-1-ND,1,